Customer_ID,Age,Gender,Total_Spend,Average_Order_Value,Purchase_Frequency,Last_Purchase_Days,Customer_Rating,Complaint_Raised,Return_Count,Churn
C00001,18,1,3570,357.0,10,33,2,0,3,0
C00002,48,0,1712,428.0,4,56,4,1,4,1
C00003,56,1,5768,721.0,8,4,1,1,3,1
C00004,40,0,660,660.0,1,81,5,0,3,0
C00005,31,1,512,512.0,1,39,1,0,3,0
C00006,24,1,3609,401.0,9,65,3,1,1,0
C00007,32,0,3050,305.0,10,111,4,1,2,1
C00008,37,0,510,510.0,1,84,1,0,1,1
C00009,49,1,790,395.0,2,75,1,1,3,1
C00010,48,0,3032,379.0,8,13,3,1,5,1
C00011,19,0,2256,752.0,3,98,4,0,2,0
C00012,48,1,6190,619.0,10,11,2,0,1,0
C00013,23,0,5870,587.0,10,71,1,1,3,1
C00014,44,1,8530,853.0,10,11,5,1,0,0
C00015,49,1,7800,650.0,12,23,5,0,1,0
C00016,23,1,6076,868.0,7,84,4,0,0,0
C00017,19,0,3663,407.0,9,25,2,0,0,0
C00018,56,0,1678,839.0,2,75,4,1,0,0
C00019,21,0,4202,382.0,11,106,3,0,2,0
C00020,55,1,843,843.0,1,38,3,1,5,1
C00021,49,1,4880,610.0,8,28,5,1,5,1
C00022,56,0,4878,542.0,9,24,2,0,3,0
C00023,36,1,4104,342.0,12,33,1,1,1,0
C00024,47,1,6648,831.0,8,1,5,1,4,1
C00025,35,1,1689,563.0,3,91,5,1,5,1
C00026,48,0,6512,814.0,8,87,1,0,1,0
C00027,49,0,4529,647.0,7,51,1,0,2,0
C00028,56,0,692,346.0,2,48,5,1,0,0
C00029,56,1,676,676.0,1,3,1,1,3,1
C00030,54,0,4390,878.0,5,19,4,0,0,0
C00031,60,0,1341,447.0,3,41,5,0,5,0
C00032,32,1,8382,762.0,11,38,1,0,0,0
C00033,38,1,3248,464.0,7,11,4,1,4,1
C00034,23,1,6200,620.0,10,5,3,1,4,1
C00035,46,0,6048,864.0,7,15,3,0,1,0
C00036,26,1,1470,490.0,3,57,3,0,5,0
C00037,18,1,5136,856.0,6,47,5,1,5,1
C00038,36,1,563,563.0,1,41,4,1,2,1
C00039,27,0,7752,646.0,12,76,1,0,3,0
C00040,35,0,7970,797.0,10,101,2,1,4,1
C00041,59,0,5240,524.0,10,120,3,1,3,1
C00042,25,0,886,886.0,1,32,1,1,4,1
C00043,54,0,3222,537.0,6,115,5,0,5,0
C00044,44,1,1644,822.0,2,46,1,0,3,0
C00045,56,0,7192,899.0,8,46,1,1,1,0
C00046,55,0,5920,592.0,10,45,2,0,3,0
C00047,19,1,1252,626.0,2,96,1,1,4,1
C00048,18,1,4708,428.0,11,26,5,1,2,1
C00049,46,0,4056,507.0,8,45,5,0,5,0
C00050,25,1,6006,546.0,11,112,2,0,2,0
C00051,57,0,2744,392.0,7,80,1,0,5,0
C00052,43,0,2815,563.0,5,46,3,1,3,1
C00053,23,0,2848,712.0,4,76,5,1,2,1
C00054,25,1,3312,552.0,6,21,1,1,1,0
C00055,58,1,1790,358.0,5,89,4,0,1,0
C00056,48,1,3738,623.0,6,29,3,0,5,0
C00057,18,0,2645,529.0,5,75,2,1,1,0
C00058,31,1,4176,464.0,9,69,2,1,5,1
C00059,50,1,1712,856.0,2,47,3,0,2,0
C00060,35,1,1408,704.0,2,27,3,0,4,0
C00061,22,1,5824,728.0,8,72,5,0,1,0
C00062,40,1,2982,497.0,6,21,4,1,5,1
C00063,53,1,1752,438.0,4,17,2,1,2,1
C00064,45,0,3536,884.0,4,68,2,1,3,1
C00065,18,0,1202,601.0,2,80,1,0,1,1
C00066,52,0,3605,515.0,7,29,3,0,4,0
C00067,25,1,3392,848.0,4,3,5,0,0,0
C00068,58,1,4824,402.0,12,115,4,1,1,0
C00069,44,1,9229,839.0,11,38,3,1,5,1
C00070,30,0,4417,631.0,7,48,5,0,1,0
C00071,34,1,1565,313.0,5,10,2,1,1,0
C00072,33,0,612,306.0,2,11,1,0,5,0
C00073,36,0,5052,842.0,6,44,4,0,0,0
C00074,49,1,2884,412.0,7,2,4,1,0,0
C00075,35,0,885,885.0,1,34,1,1,3,1
C00076,44,0,3776,472.0,8,65,2,0,3,0
C00077,53,0,1764,441.0,4,31,2,0,1,0
C00078,38,1,2232,558.0,4,32,2,1,0,0
C00079,27,0,3984,332.0,12,10,2,0,3,0
C00080,49,1,730,365.0,2,49,5,0,0,0
C00081,39,1,4280,428.0,10,82,4,1,4,1
C00082,44,0,7964,724.0,11,68,4,1,3,1
C00083,47,1,5140,514.0,10,68,3,0,2,0
C00084,52,1,7092,591.0,12,100,2,0,2,0
C00085,25,1,5580,620.0,9,102,2,1,5,1
C00086,18,1,5565,795.0,7,91,1,0,2,0
C00087,26,1,5810,581.0,10,81,1,0,2,0
C00088,25,1,4242,707.0,6,7,2,1,5,1
C00089,41,1,847,847.0,1,117,3,1,3,1
C00090,42,1,3130,626.0,5,11,2,0,4,0
C00091,28,1,2970,495.0,6,113,3,1,1,0
C00092,60,1,2082,694.0,3,99,3,0,4,0
C00093,19,1,1510,302.0,5,13,4,0,4,0
C00094,26,1,4070,370.0,11,63,3,0,1,0
C00095,31,1,2790,558.0,5,64,2,1,5,1
C00096,21,0,3510,702.0,5,16,1,1,5,1
C00097,30,1,464,464.0,1,103,3,1,0,0
C00098,42,1,3770,754.0,5,74,2,0,4,0
C00099,56,1,8140,814.0,10,113,5,1,3,1
C00100,44,1,6480,648.0,10,40,3,0,2,0
C00101,53,0,6139,877.0,7,105,1,0,1,0
C00102,46,0,5896,737.0,8,77,5,1,5,1
C00103,46,0,702,351.0,2,4,2,0,0,0
C00104,37,0,4380,438.0,10,49,5,1,5,1
C00105,53,1,3036,759.0,4,43,4,1,4,1
C00106,42,1,2790,310.0,9,94,2,0,2,0
C00107,26,0,1092,364.0,3,31,2,1,5,1
C00108,39,0,2340,780.0,3,68,1,1,1,1
C00109,22,0,1920,384.0,5,59,3,0,4,0
C00110,57,0,1734,867.0,2,11,1,1,0,0
C00111,31,0,4191,381.0,11,99,3,1,4,1
C00112,21,0,4221,603.0,7,101,4,0,5,0
C00113,34,0,5530,790.0,7,28,3,0,5,0
C00114,23,1,5922,846.0,7,61,5,0,1,0
C00115,23,0,3792,632.0,6,45,3,0,2,0
C00116,19,0,7117,647.0,11,24,3,0,2,0
C00117,59,0,7218,802.0,9,85,1,1,5,1
